EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0.523375142526588,0.524306084724396,0.523175255007267,0.514465956677842,0.512089244912594,0,0,0
0.513702746878494,0,0.515701890982083,0.51567757495788,0,0.515715340947867,0.511406301066931,0,0
0,0.348743893916726,0,0.227895900773061,0.350126787115051,0,0,0,0
0.496200340909492,0.485542140686318,0.49058680526651,0,0,0.488278405243608,0.493977714182693,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.456528381777965,0.457252513157502,0.459289305794874,0.461884475968156,0.460082212102755,0.45870895231051,0,0
0,0.444969268676656,0.436593935842872,0.444850435829566,0.439581441253767,0.442978878755185,0.453327946265241,0,0
