EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,9.99200722162641e-16,9.99200722162641e-16,9.99200722162641e-16,9.99200722162641e-16,9.99200722162641e-16,0,0,0
1.22124532708767e-15,0,1.22124532708767e-15,1.22124532708767e-15,0,1.22124532708767e-15,1.22124532708767e-15,0,0
0,0,0,0,0,0,0,0,0
4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,0,4.44089209850063e-16,4.44089209850063e-16,0,0
1.11022302462516e-15,0,0,0,0,0,0,0,0
6.66133814775094e-16,0,0,0,0,0,0,0,0
1.22124532708767e-15,0,0,0.465859977135161,0,0,0,0,0
0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,0
0,0,0,0,0,0,0,0,0
