cell_line,DPD_canc,DPD_LB
184A1_0.0_full,-0.8483413579984918,0.6783935348340328
184B5_0.0_full,-0.8485070551345398,-0.5654982606928903
AU565_0.0_full,2.82442152717768,-1.9477879643912421
BT20_0.0_full,1.7454050204168117,0.43145027969500255
BT474_0.0_full,1.001307993934111,-0.7269131070814566
BT483_0.0_full,2.0868449267341083,-0.4313514362979394
BT549_0.0_full,0.8481235458782838,2.772110760312977
CAL120_0.0_full,0.8485269403522622,2.2973744960033353
CAL148_0.0_full,1.4970698401543363,-0.746259593641852
CAL51_0.0_full,1.4553209987126818,3.4514698364236933
CAL851_0.0_full,0.8483345094508387,0.978533454880328
CAMA1_0.0_full,2.2391455200664314,-1.316360354301217
DU4475_0.0_full,0.8483038145942906,0.43139707599499494
EFM19_0.0_full,2.433168766108643,-1.5649842200287492
EFM192A_0.0_full,1.3790025218169502,-1.27820297549306
EVSAT_0.0_full,0.8681379935618476,-0.43161074713954933
HBL100_0.0_full,1.085288477322525,1.2638360451638702
HCC1143_0.0_full,1.2607732112589236,0.4312521574415804
HCC1187_0.0_full,1.1370681108878191,1.07467915712201
HCC1395_0.0_full,0.8774289681537241,0.4314099947490572
HCC1419_0.0_full,2.8297030847691764,-2.7922971987891065
HCC1428_0.0_full,0.9100145542837481,-0.5933123365263284
HCC1500_0.0_full,0.8480277348452964,-1.0292098387578854
HCC1569_0.0_full,0.8485084388294708,1.726560572878462
HCC1599_0.0_full,1.4422827653492571,0.43147129288991537
HCC1806_0.0_full,1.9140733846448499,0.4313623516979729
HCC1937_0.0_full,0.8482815632536843,1.2814503362218692
HCC1954_0.0_full,1.7404988119089402,0.4312495515025987
HCC202_0.0_full,0.9648138020624982,-1.7021028291605895
HCC2157_0.0_full,2.7881152274449668,1.5958659746437902
HCC2185_0.0_full,0.8857890328074446,-0.4314950225875752
HCC2218_0.0_full,2.1402102205981137,-0.7907074279805871
HCC3153_0.0_full,2.2603227858442514,0.43157468190878073
HCC38_0.0_full,1.62404503753729,-0.13947756209251763
HCC70_0.0_full,2.6902210515586717,1.0814583992755749
HDQP1_0.0_full,-0.847999757472212,0.962766617187658
Hs578T_0.0_full,2.9820598876205273,2.197720687077269
JIMT1_0.0_full,1.570408330144412,0.8047964392834954
KPL1_0.0_full,0.847955121675464,-0.431646897629716
LY2_0.0_full,0.8481784165113958,-0.4312494575242804
MACLS2_0.0_full,0.9758353512928902,0.9671080165236539
MCF10A_0.0_full,-0.848214287977795,1.0675502693280259
MCF10F_0.0_full,-0.8483681405564665,1.0215929375669224
MCF12A_0.0_full,-0.8481217265777162,1.5899453060489894
MCF7_0.0_full,2.124796707427951,-0.6615573262320928
MDAkb2_0.0_full,2.674012059367357,-1.353977236812073
MDAMB134VI_0.0_full,1.6175477724826948,-0.4315793149420271
MDAMB157_0.0_full,0.8484480312388846,0.43142195611751516
MDAMB175VII_0.0_full,1.5470253110161831,-0.43139232291798624
MDAMB231_0.0_full,0.848232806265512,0.4315343733741766
MDAMB361_0.0_full,2.849412404755705,-1.223214924725337
MDAMB415_0.0_full,1.2326349014998992,-0.43134483105605215
MDAMB436_0.0_full,2.3686674500621976,0.4314294534658919
MDAMB453_0.0_full,2.682445130960007,-2.5824085082149244
MDAMB468_0.0_full,2.4893773875254013,0.4313567607658928
MFM223_0.0_full,0.8481788116396237,-0.6534749719104961
MPE600_0.0_full,1.6786303371613176,-0.43125614643232313
MX1_0.0_full,1.1972741900277868,1.5182486396612147
OCUBM_0.0_full,1.1350835328868876,-0.43137312752994483
SKBR3_0.0_full,0.8484720455527403,-0.9932082072990409
T47D_0.0_full,1.8869873476214745,-2.0675746156386685
UACC3199_0.0_full,0.848413789176844,0.6108187030458885
UACC812_0.0_full,1.4719113877937233,-1.1284589336813662
UACC893_0.0_full,3.0145561452740712,-2.073093409909248
ZR751_0.0_full,2.669390022616606,-0.4313851025013125
ZR7530_0.0_full,1.2990420111783507,-0.44376940245245494
ZR75B_0.0_full,1.258969031794538,-0.43125768986063107
