Cell line,Normal/Cancer DPD,Luminal/Basal DPD
UACC3199_full_full_A,2.586232360747906,0.7403258922284293
UACC3199_full_full_B,3.055240488288685,0.4710605900961822
184A1_full_full_A,-0.7704821264065425,1.5685699084073728
184A1_full_full_B,-1.2955477287929058,1.8198428996575078
HCC1428_full_full_A,5.210557631668257,-3.1119236521672575
AU565_full_full_B,0.7601162007060369,-0.046343472693998564
HCC1428_full_full_B,5.7975367845593295,-3.9200227109336025
AU565_full_full_A,1.8340405602211682,-0.3894241811372388
HCC202_full_full_A,1.6652844391968145,-1.0219521218257888
HCC202_full_full_B,1.4641842438476669,-1.8587335834024885
BT20_full_full_A,2.3211118118892937,0.39424969037044577
BT20_full_full_B,3.1993441407483596,0.3002618646893215
BT474_full_full_A,1.023648558655442,-1.2834673529588654
BT474_full_full_B,0.8132346102484086,-0.8786928652973197
BT483_full_full_A,0.3697330153538157,-0.507113592658945
BT483_full_full_B,0.294622488974392,0.25511533615198273
MDAMB453_full_full_A,5.284344000056497,-0.3883211288931019
MDAMB453_full_full_B,4.952916120855271,-0.777273949180172
ZR7530_full_full_A,2.5598188699520383,-0.3888637771892922
ZR7530_full_full_B,2.9630400895151237,-0.8076346313299405
CAL120_full_full_A,5.693797001310181,0.984587874625876
CAL120_full_full_B,4.536095902066543,1.1653912745953574
CAL148_full_full_A,0.27505666199987294,0.48764939571670035
HDQP1_full_full_A,-0.34736902910858874,1.2224690661566038
CAL148_full_full_B,1.2277801018639043,-0.07638896318591734
HDQP1_full_full_B,-0.27506265714802436,1.0113241478950075
CAL51_full_full_A,1.7470872008975478,2.232713633261276
CAL51_full_full_B,2.114267597035113,1.3821718609227682
MACLS2_full_full_A,3.264636931144731,0.7273382345273297
MACLS2_full_full_B,4.040028837389647,0.3946380396572676
CAMA1_full_full_A,3.363904705204875,-1.0064898317969884
CAMA1_full_full_B,2.871852295476002,-0.39329028350226286
HCC2185_full_full_B,1.3089706248577457,-0.29629500729660335
HCC2185_full_full_A,1.7862417023656074,0.7433432777772537
DU4475_full_full_A,4.12984922349192,0.6286463968176627
DU4475_full_full_B,3.5407829763662746,0.39094870907057283
HCC3153_full_full_A,2.2755171019464506,0.7678594008436826
EFM19_full_full_B,4.249427621390542,-2.0846798382996936
HCC3153_full_full_B,1.6525445106855783,0.6991658539516161
EFM19_full_full_A,4.954209600902972,-2.649037289224375
HCC1143_full_full_A,3.049407664470872,1.5450100018924475
EVSAT_full_full_B,2.693203934033345,-0.3904412506628624
HCC1143_full_full_B,3.2763995995368425,0.8834652235343396
EVSAT_full_full_A,3.020001755081667,-1.4226927588874356
EFM192A_full_full_A,1.557670626162552,-0.1450259486792242
HBL100_full_full_A,0.5796649012816649,0.0006514420294683325
HBL100_full_full_B,0.27514276139166377,0.38624760525223445
EFM192A_full_full_B,1.6258399463444746,-0.20142612846194421
HCC1187_full_full_A,0.6834613199480868,2.8073037231902505
HCC1419_full_full_A,3.0836996315468066,-1.3297654328813293
HCC1187_full_full_B,0.27496121074308144,1.732883536399984
HCC1419_full_full_B,2.354516122014709,-1.0833177580059425
HCC1500_full_full_A,1.295512963465158,-1.4933776990107122
HCC1395_full_full_A,2.40154116495562,-0.3042777864004972
HCC1395_full_full_B,1.816545891865627,-0.5552657620677818
HCC1500_full_full_B,0.9123930694039621,-1.2950164554330486
HCC2218_full_full_A,0.2750432037160511,-1.2357533662010176
HCC1599_full_full_A,0.90683632707479,1.3789103742289723
HCC2218_full_full_B,0.4034698084355261,-0.8256695298717286
HCC1599_full_full_B,0.9629706341587915,0.6819396256910415
HCC1806_full_full_A,2.2189827972584615,1.5967337795467509
HCC1806_full_full_B,1.4255320388002186,0.3919610589505648
HCC1937_full_full_B,2.5315761651521407,0.8014208224706248
HCC1937_full_full_A,0.9142983625297537,0.6187334927671594
BT549_full_full_A,0.4275446021891587,2.502375236091972
HCC1954_full_full_A,2.6461034484872883,-0.6227688813589464
BT549_full_full_B,0.4264031912174344,1.9320128389462885
HCC1954_full_full_B,1.7545227573433457,0.3973526180977102
Hs578T_full_full_B,2.1988766740257324,-0.13094432574084205
Hs578T_full_full_A,2.355706394433726,0.7581818362240953
JIMT1_full_full_A,2.7697210728685753,0.3903190039220962
KPL1_full_full_A,0.6697221130990499,-0.31710862655670363
JIMT1_full_full_B,1.0695981176867644,0.45070590856477444
KPL1_full_full_B,0.2750081277551747,-0.034718699610750046
MCF10F_full_full_A,-1.2051282755206412,1.9663597032115483
MCF10F_full_full_B,-0.27506960083509596,1.4211360920445193
MDAMB231_full_full_A,1.7404362909072586,0.8687963866344327
MCF12A_full_full_A,-0.2749891091042785,-0.3426940679233038
MDAMB231_full_full_B,1.5924128419108552,0.3960426017222488
MCF12A_full_full_B,-1.3767665411983574,0.26084521503512553
MCF7_full_full_B,1.5148233782355869,-0.903736339190694
MCF7_full_full_A,1.38402326444336,-0.38842261089577523
MDAkb2_full_full_A,2.7913607904110846,-1.0455427993885544
MDAMB468_full_full_A,2.1277044214305545,0.3913968627306362
MDAkb2_full_full_B,2.7081966178343553,-0.9798552625942889
MDAMB468_full_full_B,2.493440210077734,0.13690794791187144
MDAMB134VI_full_full_A,7.975492797539814,-1.011083140732279
MDAMB134VI_full_full_B,9.225994140519074,-0.9903592310819949
SKBR3_full_full_A,2.32490083812512,-2.0777418724961154
SKBR3_full_full_B,1.6524862075274227,-1.5005379520649957
MDAMB157_full_full_A,1.0891621292270663,-0.8708547679625692
MDAMB157_full_full_B,0.2752129262226405,-0.22086293253278216
HCC38_full_full_A,3.741505122327756,-1.9761396133978493
HCC38_full_full_B,4.055270494446976,-3.6706265339450903
MDAMB175VII_full_full_B,2.033265961113239,-2.2686858732545954
MDAMB175VII_full_full_A,3.6246123359659506,-4.068227014304522
MCF10A_full_full_A,-0.6140561331796519,1.2465196073464533
MCF10A_full_full_B,-0.27509212267917005,0.6653883794836858
MDAMB361_full_full_A,3.2479953871555285,0.29410994127310086
MDAMB361_full_full_B,3.0477597772455503,0.4775907552261327
HCC1569_full_full_A,1.0875175881562247,0.5346053651943774
HCC1569_full_full_B,1.0812936265113597,0.41896580095689706
MDAMB415_full_full_A,1.9781834335129906,-0.3901778162381909
MDAMB415_full_full_B,2.42877722201382,-0.4628436353637131
