EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0.0140619118084016,0.314956475261195,0.314956475261195,0.314956475261195,2.22044604925031e-16,0,0,0
4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,0,0
0,2.22044604925031e-16,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,0,0
0.0647366923538678,0.0647366923538678,2.22044604925031e-16,0,0,0.0647366923538678,0.0647366923538678,0,0
1.4432899320127e-15,0,0,0,0,0,0,0,0
4.44089209850063e-16,0,0,0,0,0,0,0,0
2.22044604925031e-16,0,0,0,0,2.22044604925031e-16,0,0,0
0,0.420929516796491,0,0.420929516796491,0.342998277381958,0.437932449995503,0,0,0
0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.366473472384122,2.22044604925031e-16,2.22044604925031e-16,0,0
