EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0.180656138588841,0.137348727008929,-0.733227411864129,-0.0391265177372082,1.17511693060242,0,0,0
1.95084615590652,0,-0.313354300502386,1.41675604702118,0,-1.70327712453237,-0.439987671443358,0,0
0,-0.638099318214689,0,1.50947871405666,1.44995087061811,0,0,0,0
1.28917978943525,0,0,0,0,0,0,0,0
0,0.806468581918598,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0.0476869966026535,0.00793422525061443,0.073338566684863,0,0,0,0
0,0,15.1181336859152,0,0,0,0,0,0
