EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0.127561453832763,0.000237905637681351,0.218302381743406,-0.0721937005684094,0.628356148073494,0,0,0
1.24090499242152,0,0,0,0,-1.48103109514452,0,0,0
0,0.308588346201882,0,0.327369044086837,0.871920589170435,0,0,0,0
1.50878488770237,-0.18372096367839,0.224109959283178,0,0,-1.22299984142891,-0.0190454075692818,0,0
0,0,0.366253835176426,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
-0.835814452807216,0,0,0,0,0,0,0,0
0,0.522358375468045,0.133017618363177,-0.565798618403719,0,3.32487352406089,-0.946249306120131,0,0
0,0.259552125517639,0,0.20659916317033,0,-0.269110656973258,0,0,0
