EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0.423771935577449,0.423771935577449,0.423771935577449,0.423771935577449,4.44089209850063e-16,0.0203906886006886,0,0
0.486566062564005,0,0.221591866066562,0.499296647756787,0,0.409110799494367,0.482794027902212,0,0
0,0,0,0,5.55111512312578e-16,0,0,0,0
4.44089209850063e-16,0,0,0,0,0.278212299365579,0.329153630236531,0,0
2.22044604925031e-16,0,0,0,0,0,0,0,0
0,0,0,0.497939858903656,0,0,0,0,0
1.33226762955019e-15,0,0,0,0,0,0,0,0
0,0.122100387494832,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,0
0,4.44089209850063e-16,4.44089209850063e-16,0.46223127914264,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,0
