EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0.494158316018071,0.494158316018071,4.44089209850063e-16,4.44089209850063e-16,0.0147914793675597,0.0147914793675597,0,0
4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,0.0803561745261258,0.0189328325886828,4.44089209850063e-16,0,0
0,3.33066907387547e-16,0,0,0,0,0,0,0
2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,0,2.22044604925031e-16,2.22044604925031e-16,0,0
1.55431223447522e-15,0,0,0,0,0,0,0,0
6.66133814775094e-16,0,0,0,0,0,0,0,0
0,0,0,0.243751093928698,3.33066907387547e-16,3.33066907387547e-16,0,0,0
0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,0
0,3.33066907387547e-16,3.33066907387547e-16,3.33066907387547e-16,0,0,0,0,0
