EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,4.44089209850063e-16,0,4.44089209850063e-16,0,4.44089209850063e-16,0,0,0
1.11022302462516e-16,0,1.11022302462516e-16,1.11022302462516e-16,0,1.11022302462516e-16,1.11022302462516e-16,0,0
4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,0,0,0,0
0.4516084980132,5.55111512312578e-16,5.55111512312578e-16,0,0,5.55111512312578e-16,5.55111512312578e-16,0,0
0,0,0,0,0,0,0,0,0
2.22044604925031e-16,0,0,2.22044604925031e-16,0,0,2.22044604925031e-16,0,0
0,0,0,0,0,0,0,0,0
0,0.238501832195882,3.33066907387547e-16,3.33066907387547e-16,0.37990766747589,3.33066907387547e-16,0,0,0
0,0,0.430505735652544,0,0.410823087082448,0.410823087082448,2.22044604925031e-16,0,0
