EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0,0,0,0,4.44089209850063e-16,0,0,0
1.77635683940025e-15,0,1.77635683940025e-15,1.77635683940025e-15,0,1.77635683940025e-15,1.77635683940025e-15,0,0
0,1.33226762955019e-15,0,1.33226762955019e-15,1.33226762955019e-15,0,0,0,0
0,0,0,0,0,6.66133814775094e-16,6.66133814775094e-16,0,0
4.44089209850063e-16,0,0,0,0,4.44089209850063e-16,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.22044604925031e-16,0,0,0
0,0.065191584166199,0.131357941241196,0.49792772816586,0,7.77156117237609e-16,7.77156117237609e-16,0,0
0,1.11022302462516e-15,0,0,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,0,0
