EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,0,0,0
3.33066907387547e-15,0,0.0261490860653807,3.33066907387547e-15,3.33066907387547e-15,3.33066907387547e-15,0.147787818158048,0,0
6.66133814775094e-16,6.66133814775094e-16,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.69300860246226e-08,0,0
2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,2.22044604925031e-16,0.030121830786964,0.0302702478878399,0,0
1.11022302462516e-15,0,0,0.102663445419105,0,0.102663445419105,0.102663445419105,0,0
1.77635683940025e-15,8.8564366815531e-05,8.8564366815531e-05,1.77635683940025e-15,1.77635683940025e-15,0,0.499212528505532,0,0
1.4432899320127e-15,5.41260671232549e-05,5.41260671232549e-05,1.4432899320127e-15,1.4432899320127e-15,0.0452172553219941,0,0,0
0,1.55431223447522e-15,1.55431223447522e-15,1.55431223447522e-15,1.55431223447522e-15,1.55431223447522e-15,1.55431223447522e-15,0,0
0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,0
