EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,8.88178419700126e-16,0,0,0,0,0,0,0
0.244534641242458,0,8.88178419700125e-16,0,0,8.88178419700125e-16,8.88178419700125e-16,0,0
0,0,0,0,0,0,0,0,0
4.44089209850063e-16,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2.22044604925031e-16,2.22044604925031e-16,0.423398212346615,2.22044604925031e-16,2.22044604925031e-16,0.0573310520268777,0,0
0,4.44089209850063e-16,0.17871758387719,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,0
