EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0,0,0.387895869566742,0,0.385980271537738,0,0,0
0.464056641862356,0,0.185492260485303,0.454934747000157,0,0.461834024512168,0.446404264918118,0,0
0,0.308808572366648,0,0.311669142767112,0,0,0,0,0
0.699645852188475,0.131318732501203,0.143807269195063,0,0,0.674753820093024,0.655336550916041,0,0
0,0,0,0,0,0,0,0,0
0.187528293622375,0,0,0.18763616851546,0,0,0,0,0
0.556505116272381,0.557171550539791,0,0.558828912072254,0,0.553942680021081,0,0,0
0,0,0,0.403615849138805,0.418270261886283,0.415188496603704,0,0,0
0,0.411633847487772,0.410008612790044,0.412090789577947,0.414505203696008,0.41269415364243,0.414310334371393,0,0
