EGFR,PI3K_AKT,mTOR,MEK_ERK,PKC,TGFb-SMAD,STAT3,DPD_NC,DPD_LB
0,0.117402138056576,0.159987543557687,0.483278852897912,0.117402138056576,8.88178419700125e-16,0,0,0
6.66133814775094e-16,0,6.66133814775094e-16,0.0652948559247175,0.484459627819333,6.66133814775094e-16,0.456103046192954,0,0
0.292389638387099,0.497949125746353,0,0.292389638387099,0.497949125746353,0.292389638387099,0,0,0
1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,0,1.11022302462516e-16,0.355406698442334,0,0
2.22044604925031e-16,2.22044604925031e-16,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.55431223447522e-15,1.55431223447522e-15,0,1.55431223447522e-15,0,0,0,0,0
0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0.308600824331542,0.0233354200301222,1.11022302462516e-16,0,0
0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.146109070951972,2.22044604925031e-16,0.449019948651589,0,0
