,iEGFR,iPI3K,iMEK,iPKC
EGFR,0,-0.08543213684173424,-0.08572478624263599,0.049406255567355145
PI3K_AKT,0,-0.046013868795846194,-0.03535424862801125,-0.011343708120805242
MEK_ERK,0,-0.02555200003477606,-0.44548984379271844,0.05170228216998632
PKC,0,-0.037974442940499155,-0.027687798537076962,-0.1848640972315155
DPD_LB,0,0,0,0
DPD_canc,0,0,0,0
