,iEGFR,iPI3K,iMEK,iPKC
EGFR,-0.0334402652150584,-0.01571026229539659,0.010505105509555523,-0.004197617892467722
PI3K_AKT,-0.5045968257143402,-0.3697774766172935,0.03893979273925621,0.0011429837496754749
MEK_ERK,-0.21208167340812822,-0.04113637120529599,-0.20289121370480034,0.07941133623491199
PKC,-0.23378443840384627,-0.13616404373166485,0.008958191058150137,-0.2497443835140343
DPD_LB,0,0,0,0
DPD_canc,0,0,0,0
