,iEGFR,iPI3K,iMEK,iPKC
EGFR,0.013174376274767523,-0.04683040784068826,-0.1383600954411934,-0.028421643506939195
PI3K_AKT,-0.060439942025448494,-0.3459529045913898,0.01544353531491863,0.023167264431553525
MEK_ERK,-0.028388301730317856,-0.10469948656189497,-0.68858512176725,-0.07983372318615271
PKC,-0.035976928872603134,-0.16938078276045096,-0.023463240761229888,-0.2855015213551979
DPD_LB,0,0,0,0
DPD_canc,0,0,0,0
