,iEGFR,iPI3K,iMEK,iPKC
EGFR,-0.055629662481572195,-0.03232636637798144,-0.10152212308919283,0
PI3K_AKT,-0.05159823201377565,-0.3773367148975646,0.03496104818135799,0
MEK_ERK,-0.005600249514744193,0.10561758891949893,-0.4716333470770227,0
PKC,0.0018145788452246883,-0.051692203056475476,0.0061490390621782515,0
DPD_LB,-0.09822396006156962,0.054176301140882864,-0.10480137654868876,0
DPD_Canc,-0.017117247624024296,-0.11343373770162513,-0.32848576511906313,0
