,iEGFR,iPI3K,iMEK,iPKC
EGFR,0.033383983571991106,0.06693776588479773,-0.14498930985654984,0.04857451982739774
PI3K_AKT,0.01683676257251864,-0.07023314558705597,-0.006160981926198342,0.0767676512421329
MEK_ERK,0.05713356034361113,0.07857396540093314,-0.26556244247567706,0.10282542186047809
PKC,0.060157549578307,0.08217730872530506,-0.0717036303971995,-0.14598343756072568
DPD_LB,-0.6303741338727527,0.8173874834481916,1.9378563711985741,1.423854519985896
DPD_Canc,-0.6460652043285354,-0.41059983606596984,1.7880732580043524,1.6073245675960819
