,iEGFR,iPI3K,iMEK,iPKC
EGFR,-0.1260475662509455,0,-0.11471356367078107,0.012575516092420863
PI3K_AKT,-0.38493165312651345,0,0.09174987018733141,-0.02302683960908878
MEK_ERK,-0.09150789519020609,0,-0.3486132027207386,-0.0126094186144344
PKC,-0.13538691436200884,0,-0.05237425535594464,-0.17215976164528474
DPD_LB,-0.06292875400357886,0,0.24369025265723232,-0.06905350380832635
DPD_Canc,0.8865948128608286,0,-1.2355722994100782,0.9339998961130727
