,iEGFR,iPI3K,iMEK,iPKC
EGFR,-0.026551016634085458,-0.056856129148747284,-0.1449801578331125,0.0198001370709204
PI3K_AKT,-0.10903958140181574,-0.25601668412770473,-0.015303825821536282,0.020064594147325587
MEK_ERK,-0.06841111368141102,-0.1276873007290208,-0.4573616142381851,-0.03235446547153721
PKC,-0.11213182162601755,-0.19399657817005056,-0.04190309488506611,-0.24425070449655675
DPD_LB,-0.7361940234607043,-0.26586653832484186,0.33623334038960995,-0.037773692272556454
DPD_Canc,0.419246209721408,0.6783316692227671,-0.49182725248086073,0.21772505995269717
