,iEGFR,iPI3K,iMEK,iPKC
EGFR,-0.16763898064479402,-0.2386183058080083,-0.20001576673731558,-0.011802649390170167
PI3K_AKT,-0.11678904625836391,-0.20103303349515286,-0.08479725092989811,-0.0412083683770791
MEK_ERK,-0.23453352185313467,-0.23250480137549143,-0.3212099209036082,-0.06440984545196012
PKC,-0.16898733655945877,-0.2662017745035751,-0.08551670431834249,-0.3917050286705464
DPD_LB,0,0,0,0
DPD_canc,0,0,0,0
