,iEGFR,iPI3K,iMEK,iPKC
EGFR,0.010602531705950019,-0.060556623090951875,-0.04214805599465598,0.05986767899608792
PI3K_AKT,-0.10144880266684357,-0.22758126368825704,0.0960558071100796,0.04250733494909733
MEK_ERK,-0.0038766191582368663,-0.06843416452748426,-0.2793149264768755,0.04575933356017338
PKC,-0.06260625815160648,-0.19623692943146087,0.0533379192903684,-0.24621646668980843
DPD_LB,-0.0844533063192362,-0.17612382199488402,0.09237143528107061,0.10587303050063264
DPD_Canc,-0.30831967442289565,0.05363960511336937,-0.3908299043343914,-0.1557786641056794
