,iEGFR,iPI3K,iMEK,iPKC
EGFR,-0.2363851137614602,-0.13414448152681654,-0.13735595717291726,0.05536961798600472
PI3K_AKT,-0.36971804667867814,-0.3402636560524716,0.10827327992162909,0.1459945659775689
MEK_ERK,-0.27644630704822104,-0.15294337495432903,-0.23933559020888823,0.14534986479407677
PKC,-0.22732049596773046,-0.10098857288052546,0.10865570051233375,0.032364364081559426
DPD_LB,0,0,0,0
DPD_canc,0,0,0,0
